EXPERIMENT,YEAR,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF
13YT004050,2013,2170,V103142,FAM00460,True,3.1,1,56.3391122,.
13YT004050,2013,2170,V103142,FAM00460,True,3.1,2,58.5650066,.
13YT004050,2013,2170,V103154,FAM15540,True,2.9,1,75.7000361,.
13YT004050,2013,2170,V103154,FAM15540,True,2.9,2,57.7902781,.
13YT004050,2013,2170,V114557,FAM13840,False,3,1,65.5350343,.
13YT004050,2013,2170,V114557,FAM13840,False,3,2,67.3747541,.
13YT004050,2013,2170,V114589,FAM11189,False,3.1,1,75.6039757,2014
13YT004050,2013,2170,V114589,FAM11189,False,3.1,2,58.7592091,2014
13YT004050,2013,2170,V114688,FAM06758,False,3.2,1,67.7609287,2014
13YT004050,2013,2170,V114688,FAM06758,False,3.2,2,68.0534221,2014
13YT004050,2013,2170,V152313,FAM01245,False,3.1,1,53.2424291,.
13YT004050,2013,2170,V152313,FAM01245,False,3.1,2,57.2097523,.
13YT004050,2013,2170,V152324,FAM01215,False,3.5,1,65.0505688,2014
13YT004050,2013,2170,V152324,FAM01215,False,3.5,2,62.9229654,2014
13YT004050,2013,2170,V152325,FAM01215,False,3.4,1,67.9551312,2014
13YT004050,2013,2170,V152325,FAM01215,False,3.4,2,59.339735,2014
13YT004050,2013,2170,V155843,FAM13991,True,3,1,63.8896658,2011
13YT004050,2013,2170,V155843,FAM13991,True,3,2,60.1143147,2011
13YT004050,2013,2260,V103142,FAM00460,True,3.1,1,82.3198747,.
13YT004050,2013,2260,V103142,FAM00460,True,3.1,2,78.298722,.
13YT004050,2013,2260,V103154,FAM15540,True,2.9,1,77.1807934,.
13YT004050,2013,2260,V103154,FAM15540,True,2.9,2,71.1501052,.
13YT004050,2013,2260,V114557,FAM13840,False,3,1,75.7303709,.
13YT004050,2013,2260,V114557,FAM13840,False,3,2,68.6926845,.
13YT004050,2013,2260,V114589,FAM11189,False,3.1,1,87.3457951,2014
13YT004050,2013,2260,V114589,FAM11189,False,3.1,2,89.1334698,2014
13YT004050,2013,2260,V114688,FAM06758,False,3.2,1,84.9990075,2014
13YT004050,2013,2260,V114688,FAM06758,False,3.2,2,85.8928448,2014
13YT004050,2013,2260,V152313,FAM01245,False,3.1,1,83.3244937,.
13YT004050,2013,2260,V152313,FAM01245,False,3.1,2,64.3365101,.
13YT004050,2013,2260,V152324,FAM01215,False,3.5,1,92.5956582,2014
13YT004050,2013,2260,V152324,FAM01215,False,3.5,2,89.8032158,2014
13YT004050,2013,2260,V152325,FAM01215,False,3.4,1,82.7655294,2014
13YT004050,2013,2260,V152325,FAM01215,False,3.4,2,88.6852872,2014
13YT004050,2013,2260,V155843,FAM13991,True,3,1,86.1169361,2011
13YT004050,2013,2260,V155843,FAM13991,True,3,2,69.2516489,2011
13YT004050,2013,2290,V103142,FAM00460,True,3.1,1,36.1636083,.
13YT004050,2013,2290,V103142,FAM00460,True,3.1,2,38.1138123,.
13YT004050,2013,2290,V103154,FAM15540,True,2.9,1,35.8779551,.
13YT004050,2013,2290,V103154,FAM15540,True,2.9,2,37.8036236,.
13YT004050,2013,2290,V114557,FAM13840,False,3,1,35.0948994,.
13YT004050,2013,2290,V114557,FAM13840,False,3,2,38.7713649,.
13YT004050,2013,2290,V114589,FAM11189,False,3.1,1,43.425386,2014
13YT004050,2013,2290,V114589,FAM11189,False,3.1,2,41.4948104,2014
13YT004050,2013,2290,V114688,FAM06758,False,3.2,1,42.4970502,2014
13YT004050,2013,2290,V114688,FAM06758,False,3.2,2,40.7019405,2014
13YT004050,2013,2290,V152313,FAM01245,False,3.1,1,41.7263367,.
13YT004050,2013,2290,V152313,FAM01245,False,3.1,2,35.3115557,.
13YT004050,2013,2290,V152324,FAM01215,False,3.5,1,45.592395,2014
13YT004050,2013,2290,V152324,FAM01215,False,3.5,2,39.0866095,2014
13YT004050,2013,2290,V152325,FAM01215,False,3.4,1,38.4931467,2014
13YT004050,2013,2290,V152325,FAM01215,False,3.4,2,44.4152837,2014
13YT004050,2013,2290,V155843,FAM13991,True,3,1,30.8471275,2011
13YT004050,2013,2290,V155843,FAM13991,True,3,2,37.6436221,2011
13YT004050,2013,2310,V103142,FAM00460,True,3.1,1,73.2728016,.
13YT004050,2013,2310,V103142,FAM00460,True,3.1,2,70.8152322,.
13YT004050,2013,2310,V103154,FAM15540,True,2.9,1,77.1807934,.
13YT004050,2013,2310,V103154,FAM15540,True,2.9,2,68.4685932,.
13YT004050,2013,2310,V114557,FAM13840,False,3,1,78.298722,.
13YT004050,2013,2310,V114557,FAM13840,False,3,2,67.7988472,.
13YT004050,2013,2310,V114589,FAM11189,False,3.1,1,84.1075493,2014
13YT004050,2013,2310,V114589,FAM11189,False,3.1,2,85.8928448,2014
13YT004050,2013,2310,V114688,FAM06758,False,3.2,1,78.298722,2014
13YT004050,2013,2310,V114688,FAM06758,False,3.2,2,82.9896207,2014
13YT004050,2013,2310,V152313,FAM01245,False,3.1,1,71.5959086,.
13YT004050,2013,2310,V152313,FAM01245,False,3.1,2,73.0487103,.
13YT004050,2013,2310,V152324,FAM01215,False,3.5,1,93.1546225,2014
13YT004050,2013,2310,V152324,FAM01215,False,3.5,2,79.8623053,2014
13YT004050,2013,2310,V152325,FAM01215,False,3.4,1,84.442571,2014
13YT004050,2013,2310,V152325,FAM01215,False,3.4,2,82.0957834,2014
13YT004050,2013,2310,V155843,FAM13991,True,3,1,80.9778548,2011
13YT004050,2013,2310,V155843,FAM13991,True,3,2,67.3530438,2011
13YT004050,2013,2320,V103142,FAM00460,True,3.1,1,76.1760256,.
13YT004050,2013,2320,V103142,FAM00460,True,3.1,2,84.2184797,.
13YT004050,2013,2320,V103154,FAM15540,True,2.9,1,71.7092182,.
13YT004050,2013,2320,V103154,FAM15540,True,2.9,2,75.9519343,.
13YT004050,2013,2320,V114557,FAM13840,False,3,1,69.0275576,.
13YT004050,2013,2320,V114557,FAM13840,False,3,2,68.1337202,.
13YT004050,2013,2320,V114589,FAM11189,False,3.1,1,78.633595,2014
13YT004050,2013,2320,V114589,FAM11189,False,3.1,2,78.633595,2014
13YT004050,2013,2320,V114688,FAM06758,False,3.2,1,79.5274323,2014
13YT004050,2013,2320,V114688,FAM06758,False,3.2,2,88.2396324,2014
13YT004050,2013,2320,V152313,FAM01245,False,3.1,1,65.0064049,.
13YT004050,2013,2320,V152313,FAM01245,False,3.1,2,77.1807934,.
13YT004050,2013,2320,V152324,FAM01215,False,3.5,1,86.6759004,2014
13YT004050,2013,2320,V152324,FAM01215,False,3.5,2,79.303341,2014
13YT004050,2013,2320,V152325,FAM01215,False,3.4,1,86.1169361,2014
13YT004050,2013,2320,V152325,FAM01215,False,3.4,2,86.4518091,2014
13YT004050,2013,2320,V155843,FAM13991,True,3,1,72.0440912,2011
13YT004050,2013,2320,V155843,FAM13991,True,3,2,64.0016371,2011
13YT004050,2013,2440,V103142,FAM00460,True,3.1,1,52.1344634,.
13YT004050,2013,2440,V103142,FAM00460,True,3.1,2,51.4275423,.
13YT004050,2013,2440,V103154,FAM15540,True,2.9,1,44.1668055,.
13YT004050,2013,2440,V103154,FAM15540,True,2.9,2,45.9830306,.
13YT004050,2013,2440,V114557,FAM13840,False,3,1,48.4017892,.
13YT004050,2013,2440,V114557,FAM13840,False,3,2,46.3854135,.
13YT004050,2013,2440,V114589,FAM11189,False,3.1,1,67.1583952,2014
13YT004050,2013,2440,V114589,FAM11189,False,3.1,2,46.5877946,2014
13YT004050,2013,2440,V114688,FAM06758,False,3.2,1,55.8649071,2014
13YT004050,2013,2440,V114688,FAM06758,False,3.2,2,53.2437674,2014
13YT004050,2013,2440,V152313,FAM01245,False,3.1,1,48.4017892,.
13YT004050,2013,2440,V152313,FAM01245,False,3.1,2,50.6205459,.
13YT004050,2013,2440,V152324,FAM01215,False,3.5,1,56.4695223,2014
13YT004050,2013,2440,V152324,FAM01215,False,3.5,2,51.1252346,2014
13YT004050,2013,2440,V152325,FAM01215,False,3.4,1,48.9064779,2014
13YT004050,2013,2440,V152325,FAM01215,False,3.4,2,52.7392274,2014
13YT004050,2013,2440,V155843,FAM13991,True,3,1,54.0507638,2011
13YT004050,2013,2440,V155843,FAM13991,True,3,2,46.5877946,2011
13YT004050,2013,3120,V103142,FAM00460,True,3.1,1,63.400888,.
13YT004050,2013,3120,V103142,FAM00460,True,3.1,2,59.2628569,.
13YT004050,2013,3120,V103154,FAM15540,True,2.9,1,63.5845329,.
13YT004050,2013,3120,V103154,FAM15540,True,2.9,2,60.0247971,.
13YT004050,2013,3120,V114557,FAM13840,False,3,1,66.576531,.
13YT004050,2013,3120,V114557,FAM13840,False,3,2,69.6625077,.
13YT004050,2013,3120,V114589,FAM11189,False,3.1,1,67.0844911,2014
13YT004050,2013,3120,V114589,FAM11189,False,3.1,2,71.8799261,2014
13YT004050,2013,3120,V114688,FAM06758,False,3.2,1,72.6503422,2014
13YT004050,2013,3120,V114688,FAM06758,False,3.2,2,70.3624399,2014
13YT004050,2013,3120,V152313,FAM01245,False,3.1,1,61.7833265,.
13YT004050,2013,3120,V152313,FAM01245,False,3.1,2,63.5567259,.
13YT004050,2013,3120,V152324,FAM01215,False,3.5,1,77.9280122,2014
13YT004050,2013,3120,V152324,FAM01215,False,3.5,2,73.0727997,2014
13YT004050,2013,3120,V152325,FAM01215,False,3.4,1,68.783243,2014
